0x020610B4 GX2AllocateTilingApertureEx
0x020624AC GX2TempGetNonUserMemoryResourceCount
0x02062488 GX2TempGetResourceCount
0x0204CD9C GX2UDAGetLastAlert
0x0204CDA4 GX2UDAResetAlertFireCount
0x0204CDAC GX2UDASetAlertEnable
0x0204CDA8 GX2UDASetAlertLevel
0x02004FF8 GX2WaitForFlip
0x0200407C GX2WaitForFreeScanBuffer
0x02004FEC GX2WaitForVsync
0x020002A4 GX2WaitTimeStamp
0x0200C4A0 _GX2DebugSetCaptureInterface
0x0200630C _GX2GetLastFrameB
0x020332D0 _GX2InitCounterInfo
0x02036570 _GX2ResetCounters
0x020372C0 _GX2SampleCounters
0x02033B3C _GX2SetCounterInfo
0x02036748 _GX2StartCounters
0x02036D68 _GX2StopCounters
